DS100;Breite;Laenge
AELB;53.5345;10.0245
TETN;48.4847;8.7531
MIA;48.7904959;11.4074564
HEBA;51.8144784;9.89290953
KRO;50.782539;6.547586
DSTR;51.361469;14.052047
TDSA;48.4733;8.48291
MFOL;47.895336;11.852244
FFGG;50.0565739;8.59449506
EOBG;51.191867;7.574042
HJAH;53.339108;8.182909
EKIE;51.1300136;7.61622906
EREKK;51.7870373;7.03519821
MRAI;47.851651;12.089467
RSFW;49.1836249;8.6369276
BFBI;52.3648038;13.5119498
UDO;51.298312;11.376962
LBGR;51.7811;11.7593
LLMS;51.3738;12.4121
URO;51.297859;11.436302
BWAF;52.36842;13.4635305
DWID;51.393167;14.039241
WSTS;53.149007;12.985605
BFBB;52.3648431;13.5119176
KA;50.7678;6.091499
TA;48.841013;10.096271
HA;51.766433;8.943319
FALZ;49.7502;8.109749
NAN;49.298032;10.578239
NAH;49.980557;9.143697
AAG;54.148462;10.339481
KAU;50.773765;7.656537
MA;48.365441;10.88557
TAU;47.953052;9.644046
FBA;49.957963;8.957182
TB;48.942676;9.425989
TBF;49.231571;9.199771
HBHA;51.888116;10.555444
FBHF;50.869632;9.716182
SBKN;49.842399;7.866435
HNDF;52.343735;9.378603
AO;53.8053902;10.3825414
NBA;49.900759;10.899489
RB;47.567288;7.607805
NSCH;49.3263803;12.103802
NBY;49.949616;11.579985
FB;50.969568;9.797788
KBE;50.987478;6.572615
FBH;49.681329;8.616717
NS;50.035313;10.212919
KSWE;51.290526;7.289681
EBZ;50.789294;7.87005
EBILP;52.029261;8.532722
ESRT;51.442281;7.55896
TBM;48.947933;9.137557
FBGK;49.968729;7.884263
EBO;51.478609;7.223275
RSE;49.441157;9.338469
HSSN;51.887263;10.173898
KB;50.732008;7.097136
KBOP;50.231413;7.586102
ESIE;50.875939;8.016508
EBTH.EBTHP;51.50945;6.936684
EBWE;51.997378;8.498426
HBS;52.252218;10.540295
HB;53.083481;8.813834
HBH;53.534912;8.599555
RBT;49.0369;8.693448
EBRW;51.349159;8.576073
RBR;49.124622;8.589649
ABLZ;53.324683;9.876266
MBU;48.033723;10.716217
ABCH;53.474972;10.623298
HBDE;52.202075;8.573876
KSIH;50.485857;7.77138
FBNG;50.691113;9.047604
EBFT;52.147384;7.32934
TCW;48.714682;8.741854
HC;52.6209628;10.0626343
FCOE;50.848159;8.787365
ECMF;51.939431;7.16388
TC;49.137872;10.064326
FD;49.872503;8.629636
TSIG;48.086984;9.221851
HD;53.052792;8.629758
HDBG;52.096851;10.143719
MSBI;48.262726;13.023012
RSI;47.758438;8.840383
FDIL;50.734883;8.294088
SDL;49.35271;6.72215
ESOT;51.578419;8.104589
RDO;47.947786;8.498919
MDT;48.714026;10.771443
EDO.EDO N;51.517896;7.45929
EDDP.EDDPH.EDDPT;51.509376;7.424864
KDFF.KDFFH;51.292009;6.786836
EDUL.EDULH;51.827676;7.295765
KDN.KDN P;50.809517;6.482451
KD;51.219962;6.794319
EDG;51.429785;6.775903
KSO;51.160766;7.004187
HSO;52.983017;9.831109
AST;53.596143;9.477008
HEBG;51.374823;9.921482
NSTN;49.453218;10.273535
AEL;53.754025;9.659408
HELZ;52.120147;9.746894
KENR;50.42598;7.546827
NST;48.876978;12.574094
TS;48.784084;9.181635
EE;51.451355;7.014793
EEST;51.450684;7.075552
KEU;50.65776;6.792193
TET;48.479952;8.782236
EFP;51.173048;7.964563
AF;54.774039;9.436526
FFRK;51.054565;8.789181
FF;50.107145;8.663789
FHOE;50.102634;8.54237
RF;47.997697;7.84117
MFL;47.836916;12.977193
TFS;48.460322;8.428803
FFG;50.332606;8.762056
TF;47.653224;9.4739
EFOE;51.471254;7.762198
NF;49.469707;10.989988
FFU;50.554723;9.683977
MTS;47.869727;12.638801
FGEL;50.196343;9.189278
EG;51.504903;7.102455
MGE;48.1059912;11.0374552
NGM;50.050018;9.699894
FGHO;49.89826;7.938188
MTL;48.961267;10.908159
SGR;50.224006;6.660372
FG;50.579059;8.661462
EGBW;51.574922;6.976389
FGE;49.83323;8.489187
TGO;48.700027;9.651969
HG;51.536815;9.926072
FTS;50.910661;9.185673
HGS;51.911573;10.421436
RGN;49.161797;8.49063
FGR;50.382239;8.458553
KGRB;51.093701;6.580447
STR;49.756846;6.652453
KT;50.813922;7.150892
FGER;49.924934;8.486215
RGR;49.564384;8.167962
KGUA.KGUI;51.214559;7.010546
MGZB;48.4605626;10.2792621
FGTH;51.229917;9.466997
TT;48.515811;9.055407
EHG;51.362747;7.460249
RWGA;47.588707;7.616284
MTHB;48.04569;10.617439
EHLT;51.737668;7.184366
RWPF;47.589015;7.626493
AHAR;53.455908;9.991701
HHM;52.10185;9.375906
EHM;51.678078;7.807821
FH.FH  N.FH  S;50.120953;8929
HH;52.376761;9.741021
STM;49.580358;7.114615
AHI;54.193563;9.101029
RH;49.403567;8.675442
TH;49.143306;9.207715
FHWD.FHWR;50.230826;8.880233
HHLM;52.222086;11.010553
THT;48.063945;9.414604
FHRB;50.684405;8.30814
EHFD;52.119609;8.663643
TTU;47.980579;8.798542
EHER;51.543652;7.21783
EHDT;51.67191;6.974167
HHB;51.643861;10.329923
HHES;52.439221;7.967599
HU;52.969781;10.553053
HHI;52.160626;9.953497
